0.02660 ; negcapital(A ,B)  :-  country(A ,C)   ,  country(D ,C)   ,  location(D ,B).
0.00000 ; negcapital(A ,B)  :-  populationDensity(A ,C)   ,  populationTotal(B ,D)   ,  C<D.
0.00280 ; negcapital(A ,B)  :-  country(A ,C)   ,  largestCity(C ,B).
0.00910 ; negcapital(A ,B)  :-  city(C ,A)   ,  country(D ,B)   ,  D=C.
0.00000 ; negcapital(A ,B)  :-  populationTotal(A ,C)   ,  areaMetro(B ,D)   ,  C>D.
0.00140 ; negcapital(A ,B)  :-  country(A ,C)   ,  broadcastArea(D ,C)   ,  headquarter(D ,B).
0.00000 ; negcapital(A ,B)  :-  areaMetro(B ,C)   ,  areaTotal(A ,D)   ,  C>D.
0.00490 ; negcapital(A ,B)  :-  country(A ,C)   ,  birthPlace(D ,C)   ,  restingPlace(D ,B).
0.00770 ; negcapital(A ,B)  :-  residence(C ,B)   ,  stateOfOrigin(C ,D)   ,  country(A ,D).
0.00000 ; negcapital(A ,B)  :-  country(A ,C)   ,  hometown(D ,C)   ,  residence(D ,B).
0.00770 ; negcapital(A ,B)  :-  country(A ,C)   ,  stateOfOrigin(D ,C)   ,  residence(D ,B).
0.00840 ; negcapital(A ,B)  :-  location(C ,B)   ,  foundationPlace(C ,D)   ,  country(A ,D).
0.00000 ; negcapital(A ,B)  :-  country(A ,C)   ,  majorShrine(D ,C)   ,  deathPlace(D ,B).
0.00560 ; negcapital(A ,B)  :-  country(A ,C)   ,  location(D ,C)   ,  nearestCity(D ,B).
0.00140 ; negcapital(A ,B)  :-  country(A ,C)   ,  populationPlace(D ,C)   ,  populationPlace(D ,B).
0.00000 ; negcapital(A ,B)  :-  areaTotal(A ,C)   ,  areaWater(D ,C)   ,  country(D ,B).
0.00070 ; negcapital(A ,B)  :-  leaderName(B ,C)   ,  nationality(C ,D)   ,  country(A ,D).
0.00140 ; negcapital(A ,B)  :-  country(A ,C)   ,  stateOfOrigin(D ,C)   ,  restingPlace(D ,B).
0.00840 ; negcapital(A ,B)  :-  maximumElevation(B ,C)   ,  areaTotal(A ,D)   ,  C<D.
0.01050 ; negcapital(A ,B)  :-  location(C ,B)   ,  locationCountry(C ,D)   ,  country(A ,D).
0.00000 ; negcapital(A ,B)  :-  areaTotal(A ,C)   ,  areaLand(B ,D)   ,  C<D.
0.01750 ; negcapital(A ,B)  :-  country(A ,C)   ,  birthPlace(D ,C)   ,  residence(D ,B).
0.00840 ; negcapital(A ,B)  :-  populationDensity(B ,C)   ,  areaLand(A ,D)   ,  C<D.
0.02100 ; negcapital(A ,B)  :-  populationDensity(B ,C)   ,  populationDensity(A ,D)   ,  C>D.
0.01680 ; negcapital(A ,B)  :-  country(A ,C)   ,  headquarter(D ,C)   ,  headquarter(D ,B).
0.00000 ; negcapital(A ,B)  :-  areaTotal(A ,C)   ,  areaTotal(D ,C)   ,  isPartOf(D ,B).
0.00630 ; negcapital(A ,B)  :-  country(A ,C)   ,  country(D ,C)   ,  headquarter(D ,B).
0.00000 ; negcapital(A ,B)  :-  areaTotal(A ,C)   ,  areaMetro(B ,D)   ,  C>D.
9.09970 ; negcapital(A ,B)  :-  citizenship(C ,B)   ,  birthPlace(D ,A)   ,  C=D.
0.00980 ; negcapital(A ,B)  :-  city(C ,B)   ,  city(C ,D)   ,  country(A ,D).
0.00331 ; negcapital(A ,B)  :-  country(A ,C)   ,  knownFor(D ,C)   ,  birthPlace(D ,B).
0.00350 ; negcapital(A ,B)  :-  country(A ,C)   ,  residence(D ,C)   ,  billed(D ,B).
0.00280 ; negcapital(A ,B)  :-  city(C ,B)   ,  location(C ,D)   ,  country(A ,D).
0.05110 ; negcapital(A ,B)  :-  populationDensity(A ,C)   ,  populationTotal(B ,D)   ,  C<D.
0.00910 ; negcapital(A ,B)  :-  city(C ,A)   ,  country(D ,B)   ,  C=D.
0.00070 ; negcapital(A ,B)  :-  location(C ,A)   ,  location(C ,D)   ,  country(D ,B).
0.00000 ; negcapital(A ,B)  :-  location(C ,A)   ,  country(C ,B).
0.01680 ; negcapital(A ,B)  :-  country(A ,C)   ,  nationality(D ,C)   ,  deathPlace(D ,B).
0.00560 ; negcapital(A ,B)  :-  nearestCity(C ,B)   ,  location(C ,D)   ,  country(A ,D).
